lead_id,lead_date,mapped_dealer_id,lead_type,stage,estimated_value,competitor_seen,note
ASPLEAD0000087,2026-01-14,ASPDLR000946,Villa,quoted,2646210.69,Berger,payment risk
ASPLEAD0000088,2025-04-11,ASPDLR000401,Waterproofing,new,694505.20,unknown,payment risk
ASPLEAD0000089,2024-12-03,ASPDLR000667,Villa,quoted,972134.28,Nerolac,
ASPLEAD0000090,2024-12-03,ASPDLR000852,Apartment repaint,won,2984952.94,Local,price high
ASPLEAD0000091,2025-04-22,ASPDLR000816,Builder project,stalled,428532.28,unknown,contractor controls decision
ASPLEAD0000092,16/12/2025,ASPDLR000387,Waterproofing,site visit,715990.75,None,contractor controls decision
ASPLEAD0000093,03/07/2025,ASPDLR000711,Apartment repaint,lost,171044.67,Local,payment risk
ASPLEAD0000094,01/31/2026,ASPDLR000745,Beautiful Homes,quoted,1633486.08,Local,contractor controls decision
ASPLEAD0000095,07-Feb-25,ASPDLR000737,Waterproofing,site visit,69848.76,Nerolac,contractor controls decision
ASPLEAD0000096,2025-01-03,ASPDLR000625,Commercial,won,1187295.63,Local,
ASPLEAD0000097,2024-07-01,ASPDLR000734,Waterproofing,quoted,2534623.70,unknown,contractor controls decision
ASPLEAD0000098,2024-06-02,ASPDLR000584,Commercial,won,199499.22,Nerolac,payment risk
ASPLEAD0000099,2025-12-04,ASPDLR000574,Commercial,won,2314020.15,Local,price high
ASPLEAD0000100,2025-05-12,ASPDLR000216,Builder project,won,27777.06,Berger,contractor controls decision
ASPLEAD0000101,2025-08-01,ASPDLR000353,Waterproofing,quoted,2042951.52,Berger,dealer asked extra margin
ASPLEAD0000102,2024-04-05,ASPDLR000837,Waterproofing,stalled,1150518.15,None,contractor controls decision
ASPLEAD0000103,2024-05-12,ASPDLR000501,Commercial,stalled,850348.76,Nerolac,price high
ASPLEAD0000104,2026-01-06,ASPDLR000897,Commercial,site visit,1081061.57,Indigo,payment risk
ASPLEAD0000105,03/15/2025,ASPDLR000321,Builder project,lost,2906436.81,Indigo,payment risk
ASPLEAD0000106,2025-09-28,ASPDLR000258,Builder project,new,2033924.07,unknown,
ASPLEAD0000107,06/01/2024,ASPDLR000403,Apartment repaint,quoted,1904698.58,Indigo,contractor controls decision
ASPLEAD0000108,2026-01-18,ASPDLR000457,Builder project,stalled,1885082.10,Nerolac,dealer asked extra margin
ASPLEAD0000109,2025-03-27,ASPDLR000865,Commercial,won,512080.87,JSW,price high
ASPLEAD0000110,02/15/2025,ASPDLR000221,Waterproofing,quoted,1677714.11,Indigo,price high
ASPLEAD0000111,2025-07-03,ASPDLR000163,Villa,quoted,2220442.99,JSW,contractor controls decision
ASPLEAD0000112,2025-01-29,ASPDLR000740,Waterproofing,won,1593851.26,unknown,dealer asked extra margin
ASPLEAD0000113,02/03/2025,ASPDLR000189,Beautiful Homes,site visit,2812816.64,None,dealer asked extra margin
ASPLEAD0000114,03/03/2026,ASPDLR000284,Beautiful Homes,site visit,1221450.39,Berger,price high
ASPLEAD0000115,2025-03-18,ASPDLR000911,Builder project,quoted,2008344.88,Nerolac,contractor controls decision
ASPLEAD0000116,2025-12-14,ASPDLR000235,Commercial,quoted,771082.90,Local,dealer asked extra margin
ASPLEAD0000117,2025-09-02,ASPDLR000282,Commercial,lost,572642.19,Berger,price high
ASPLEAD0000118,2025-09-20,ASPDLR000252,Builder project,quoted,2282330.40,Indigo,dealer asked extra margin
ASPLEAD0000119,2024-05-12,ASPDLR000425,Apartment repaint,new,728184.45,JSW,payment risk
ASPLEAD0000120,2024-10-13,ASPDLR000617,Beautiful Homes,won,289682.08,JSW,
ASPLEAD0000121,2025-10-15,ASPDLR000189,Beautiful Homes,quoted,2460581.62,Nerolac,
ASPLEAD0000122,2025-05-28,ASPDLR000277,Waterproofing,stalled,1244044.77,Nerolac,
ASPLEAD0000123,2024-04-21,ASPDLR000502,Builder project,lost,1992250.01,unknown,price high
ASPLEAD0000124,2025-08-30,ASPDLR000920,Villa,site visit,1507761.48,None,contractor controls decision
ASPLEAD0000125,22/09/2024,ASPDLR000966,Beautiful Homes,lost,2584340.00,JSW,contractor controls decision
ASPLEAD0000126,28-Oct-25,ASPDLR000189,Apartment repaint,site visit,45387.53,JSW,dealer asked extra margin
ASPLEAD0000127,2025-04-23,ASPDLR000700,Commercial,quoted,1736137.26,Berger,dealer asked extra margin
ASPLEAD0000128,2024-09-14,ASPDLR000554,Apartment repaint,lost,400408.97,Berger,contractor controls decision
ASPLEAD0000129,2024-06-27,ASPDLR000259,Beautiful Homes,new,1293854.72,JSW,dealer asked extra margin
ASPLEAD0000130,2026-03-11,ASPDLR000557,Waterproofing,quoted,919278.25,unknown,price high
ASPLEAD0000131,2025-03-21,ASPDLR000311,Commercial,won,67238.34,unknown,
ASPLEAD0000132,2024-07-29,ASPDLR000555,Villa,site visit,1450259.83,Nerolac,payment risk
ASPLEAD0000133,2025-11-19,ASPDLR000199,Commercial,stalled,278374.51,Berger,
ASPLEAD0000134,2025-01-21,ASPDLR000002,Waterproofing,won,2411628.72,None,price high
ASPLEAD0000135,2024-09-16,ASPDLR000896,Commercial,stalled,2331631.23,Nerolac,
ASPLEAD0000136,2024-05-01,ASPDLR000718,Villa,stalled,849146.22,None,dealer asked extra margin
ASPLEAD0000137,25-Oct-25,ASPDLR000928,Waterproofing,won,2729119.37,None,dealer asked extra margin
ASPLEAD0000138,2025-03-19,ASPDLR000451,Commercial,lost,735028.36,unknown,dealer asked extra margin
ASPLEAD0000139,2025-05-28,ASPDLR000075,Villa,new,1192018.27,unknown,dealer asked extra margin
ASPLEAD0000140,2025-03-30,ASPDLR000417,Villa,new,1549506.86,Nerolac,payment risk
ASPLEAD0000141,2025-03-06,ASPDLR000431,Commercial,site visit,1701016.50,Nerolac,
ASPLEAD0000142,2025-08-01,ASPDLR000437,Commercial,stalled,486781.39,Indigo,
ASPLEAD0000143,2024-05-20,ASPDLR000293,Villa,site visit,784796.50,Nerolac,dealer asked extra margin
ASPLEAD0000144,2024-10-01,ASPDLR000079,Builder project,lost,1500198.76,None,price high
ASPLEAD0000145,30-Jul-25,ASPDLR000504,Apartment repaint,stalled,1620771.39,JSW,
ASPLEAD0000146,2024-06-02,ASPDLR000102,Villa,new,2830531.24,unknown,price high
ASPLEAD0000147,2024-08-05,ASPDLR000017,Waterproofing,won,307669.05,None,payment risk
ASPLEAD0000148,09/07/2024,ASPDLR000505,Apartment repaint,quoted,615485.66,JSW,price high
ASPLEAD0000149,01/21/2025,ASPDLR000485,Waterproofing,site visit,2574326.50,Berger,price high
ASPLEAD0000150,2025-02-24,ASPDLR000489,Commercial,new,1975735.12,None,contractor controls decision
ASPLEAD0000151,2024-07-30,ASPDLR000688,Apartment repaint,quoted,2691531.76,Indigo,dealer asked extra margin
ASPLEAD0000152,2024-12-14,ASPDLR000837,Apartment repaint,lost,323645.45,Berger,contractor controls decision
ASPLEAD0000153,25-Aug-24,ASPDLR000132,Beautiful Homes,quoted,998969.99,unknown,contractor controls decision
ASPLEAD0000154,2024-09-15,ASPDLR000632,Waterproofing,site visit,243170.89,Berger,price high
ASPLEAD0000155,2024-06-19,ASPDLR000410,Beautiful Homes,stalled,2724995.06,Nerolac,contractor controls decision
ASPLEAD0000156,2025-06-26,ASPDLR000447,Builder project,lost,2156871.96,Local,dealer asked extra margin
ASPLEAD0000157,2024-07-19,ASPDLR000029,Waterproofing,quoted,2590432.75,None,dealer asked extra margin
ASPLEAD0000158,2025-11-10,ASPDLR000701,Waterproofing,site visit,596219.12,Berger,payment risk
ASPLEAD0000159,2024-12-27,ASPDLR000737,Apartment repaint,won,1960123.51,JSW,contractor controls decision
ASPLEAD0000160,2025-08-27,ASPDLR000473,Apartment repaint,lost,1676031.86,Indigo,contractor controls decision
ASPLEAD0000161,2025-05-23,ASPDLR000424,Beautiful Homes,lost,1624874.29,JSW,dealer asked extra margin
ASPLEAD0000162,2026-03-14,ASPDLR000433,Villa,new,1879713.23,Indigo,price high
ASPLEAD0000163,2025-08-25,ASPDLR000942,Beautiful Homes,lost,1254684.60,Nerolac,dealer asked extra margin
ASPLEAD0000164,2025-12-06,ASPDLR000727,Apartment repaint,site visit,1104647.50,Indigo,price high
ASPLEAD0000165,2024-10-21,ASPDLR000011,Builder project,site visit,422927.86,unknown,dealer asked extra margin
ASPLEAD0000166,2025-05-22,ASPDLR000911,Apartment repaint,new,748435.64,Nerolac,payment risk
ASPLEAD0000167,2025-10-24,ASPDLR000802,Waterproofing,quoted,356063.26,Berger,
ASPLEAD0000168,2024-07-29,ASPDLR000422,Villa,won,2407417.96,Berger,payment risk
ASPLEAD0000169,2026-01-04,ASPDLR000025,Builder project,quoted,547305.40,unknown,
ASPLEAD0000170,2024-11-28,ASPDLR000980,Apartment repaint,lost,1095454.27,Berger,payment risk
ASPLEAD0000171,2024-06-06,ASPDLR000949,Apartment repaint,won,2585795.16,unknown,
ASPLEAD0000172,2024-05-27,ASPDLR000725,Villa,lost,941444.89,Indigo,price high
ASPLEAD0000173,03/29/2025,ASPDLR000173,Builder project,stalled,548429.00,Nerolac,contractor controls decision
ASPLEAD0000174,2025-11-11,ASPDLR000775,Beautiful Homes,quoted,2800464.05,unknown,dealer asked extra margin
ASPLEAD0000175,2024-05-28,ASPDLR000532,Villa,stalled,346117.91,Indigo,payment risk
ASPLEAD0000176,2026-01-02,ASPDLR000757,Beautiful Homes,won,798027.82,JSW,dealer asked extra margin
ASPLEAD0000177,2026-03-05,ASPDLR000396,Commercial,won,2827136.92,None,price high
ASPLEAD0000178,2025-03-18,ASPDLR000460,Beautiful Homes,quoted,1792281.59,Nerolac,
ASPLEAD0000179,2025-10-14,ASPDLR000439,Villa,won,117017.69,None,contractor controls decision
ASPLEAD0000180,2024-04-05,ASPDLR000556,Beautiful Homes,lost,721620.76,unknown,price high
ASPLEAD0000181,2025-08-04,ASPDLR000101,Villa,won,548225.96,Local,
ASPLEAD0000182,2025-09-07,ASPDLR000267,Commercial,won,2956925.95,None,price high
ASPLEAD0000183,06/14/2025,ASPDLR000970,Commercial,quoted,2113180.63,Nerolac,price high
ASPLEAD0000184,2024-09-03,ASPDLR000555,Waterproofing,stalled,67349.70,Berger,price high
ASPLEAD0000185,2025-09-20,ASPDLR000814,Beautiful Homes,stalled,2533429.76,Nerolac,dealer asked extra margin
ASPLEAD0000186,2026-03-05,ASPDLR000926,Apartment repaint,new,349242.30,Nerolac,contractor controls decision
ASPLEAD0000187,10/01/2025,ASPDLR000754,Villa,new,546157.72,Berger,
ASPLEAD0000188,2025-06-02,ASPDLR000367,Waterproofing,lost,441948.95,Nerolac,
ASPLEAD0000189,11/01/2025,ASPDLR000845,Beautiful Homes,new,1120064.69,Local,contractor controls decision
ASPLEAD0000190,2024-06-26,ASPDLR000259,Villa,stalled,200041.59,Local,
ASPLEAD0000191,2025-04-30,ASPDLR000665,Commercial,lost,194128.66,Local,contractor controls decision
ASPLEAD0000192,2024-10-21,ASPDLR000839,Villa,lost,2581112.02,Berger,contractor controls decision
ASPLEAD0000193,2024-08-15,ASPDLR000150,Beautiful Homes,quoted,1742076.62,Berger,contractor controls decision
ASPLEAD0000194,03/12/2024,ASPDLR000915,Apartment repaint,site visit,2048106.43,None,dealer asked extra margin
ASPLEAD0000195,2025-04-30,ASPDLR000773,Villa,new,2904031.23,Indigo,price high
ASPLEAD0000196,2025-01-16,ASPDLR000635,Builder project,site visit,358876.09,None,dealer asked extra margin
ASPLEAD0000197,2024-07-17,ASPDLR000539,Beautiful Homes,lost,2828808.66,Berger,payment risk
ASPLEAD0000198,2025-05-16,ASPDLR000543,Beautiful Homes,lost,2861071.32,unknown,contractor controls decision
ASPLEAD0000199,2025-11-21,ASPDLR000564,Beautiful Homes,site visit,2337305.25,Berger,payment risk
ASPLEAD0000200,10/22/2024,ASPDLR000566,Builder project,lost,2866252.48,unknown,price high
ASPLEAD0000201,2025-05-12,ASPDLR000601,Beautiful Homes,new,2707222.42,Indigo,dealer asked extra margin
ASPLEAD0000202,2024-07-07,ASPDLR000342,Beautiful Homes,site visit,2014492.09,Local,price high
ASPLEAD0000203,2024-10-10,ASPDLR000262,Apartment repaint,stalled,49675.81,Local,contractor controls decision
ASPLEAD0000204,16-Apr-24,ASPDLR000527,Apartment repaint,lost,2580356.98,unknown,payment risk
ASPLEAD0000205,2025-09-11,ASPDLR000470,Commercial,new,977799.53,Berger,price high
ASPLEAD0000206,2024-07-22,ASPDLR000443,Commercial,site visit,1385236.06,JSW,price high
ASPLEAD0000207,2026-01-23,ASPDLR000567,Villa,won,520713.34,Indigo,payment risk
ASPLEAD0000208,2025-06-19,ASPDLR000258,Apartment repaint,new,2166291.19,Indigo,payment risk
ASPLEAD0000209,2026-01-10,ASPDLR000399,Apartment repaint,lost,1216950.01,Nerolac,
ASPLEAD0000210,2024-07-07,ASPDLR000543,Waterproofing,won,1338937.47,Local,price high
ASPLEAD0000211,2024-07-16,ASPDLR000657,Apartment repaint,lost,2382151.54,None,payment risk
ASPLEAD0000212,22-Aug-25,ASPDLR000728,Villa,site visit,2336696.56,Indigo,contractor controls decision
ASPLEAD0000213,2025-06-17,ASPDLR000093,Builder project,new,2771582.02,Local,price high
ASPLEAD0000214,2025-09-10,ASPDLR000693,Apartment repaint,stalled,257545.82,Indigo,
ASPLEAD0000215,2025-01-20,ASPDLR000288,Beautiful Homes,quoted,874286.35,Indigo,
ASPLEAD0000216,20-Nov-24,ASPDLR000052,Beautiful Homes,stalled,116557.83,unknown,
ASPLEAD0000217,2024-04-18,ASPDLR000272,Waterproofing,stalled,2690310.20,Nerolac,contractor controls decision
ASPLEAD0000218,2024-11-03,ASPDLR000803,Waterproofing,lost,2629954.25,unknown,dealer asked extra margin
ASPLEAD0000219,2024-10-20,ASPDLR000267,Apartment repaint,won,2703976.53,unknown,
ASPLEAD0000220,13/04/2024,ASPDLR000818,Villa,site visit,1852642.24,Nerolac,dealer asked extra margin
ASPLEAD0000221,2025-12-10,ASPDLR000513,Commercial,new,1565591.16,Nerolac,contractor controls decision
ASPLEAD0000222,2024-08-10,ASPDLR000051,Waterproofing,won,1949269.97,Local,
ASPLEAD0000223,2024-12-11,ASPDLR000651,Commercial,new,2051853.69,None,price high
ASPLEAD0000224,2025-08-14,ASPDLR000173,Builder project,quoted,834305.81,Local,payment risk
ASPLEAD0000225,2026-03-02,ASPDLR000022,Waterproofing,stalled,2931143.98,Indigo,payment risk
ASPLEAD0000226,2025-08-29,ASPDLR000452,Apartment repaint,quoted,1417327.05,unknown,price high
ASPLEAD0000227,2024-10-27,ASPDLR000645,Waterproofing,lost,2326172.84,None,contractor controls decision
ASPLEAD0000228,2024-08-22,ASPDLR000801,Villa,stalled,1570857.34,unknown,contractor controls decision
ASPLEAD0000229,2024-07-04,ASPDLR000784,Apartment repaint,new,2407774.87,Indigo,dealer asked extra margin
ASPLEAD0000230,2025-12-07,ASPDLR000890,Villa,new,1767879.60,Nerolac,dealer asked extra margin
ASPLEAD0000231,2024-09-20,ASPDLR000847,Commercial,stalled,31759.89,Local,price high
ASPLEAD0000232,20/01/2025,ASPDLR000289,Waterproofing,stalled,1665527.32,None,contractor controls decision
ASPLEAD0000233,2025-02-11,ASPDLR000218,Villa,new,1450879.77,Nerolac,dealer asked extra margin
ASPLEAD0000234,2026-03-11,ASPDLR000245,Villa,stalled,2511279.75,JSW,payment risk
ASPLEAD0000235,2026-03-01,ASPDLR000447,Builder project,won,950693.16,JSW,payment risk
ASPLEAD0000236,2024-06-27,ASPDLR000297,Villa,won,1049991.57,JSW,payment risk
ASPLEAD0000237,2025-07-24,ASPDLR000190,Builder project,new,243009.83,Local,
ASPLEAD0000238,2025-02-26,ASPDLR000919,Villa,quoted,2631298.76,Nerolac,
ASPLEAD0000239,2025-02-02,ASPDLR000637,Beautiful Homes,quoted,1419468.08,Indigo,dealer asked extra margin
ASPLEAD0000240,2025-02-21,ASPDLR000018,Villa,stalled,1676163.86,None,dealer asked extra margin
ASPLEAD0000241,2025-07-02,ASPDLR000068,Beautiful Homes,lost,2093295.93,Nerolac,contractor controls decision
ASPLEAD0000242,2024-05-06,ASPDLR000150,Commercial,won,2628629.66,Berger,contractor controls decision
ASPLEAD0000243,2025-10-28,ASPDLR000714,Commercial,new,2722850.07,unknown,price high
ASPLEAD0000244,2026-01-08,ASPDLR000558,Builder project,site visit,2482602.21,None,payment risk
ASPLEAD0000245,03/10/2025,ASPDLR000048,Villa,site visit,2988675.03,None,
ASPLEAD0000246,08/19/2025,ASPDLR000755,Villa,won,709673.70,Local,contractor controls decision
ASPLEAD0000247,2025-11-25,ASPDLR000390,Waterproofing,site visit,120455.74,Indigo,
ASPLEAD0000248,2024-11-22,ASPDLR000226,Builder project,quoted,1954871.06,Indigo,dealer asked extra margin
ASPLEAD0000249,27/06/2024,ASPDLR000594,Beautiful Homes,quoted,2955343.63,JSW,price high
ASPLEAD0000250,2024-04-27,ASPDLR000108,Apartment repaint,won,2826748.70,Local,dealer asked extra margin
ASPLEAD0000251,2025-03-31,ASPDLR000598,Builder project,won,2498435.02,JSW,
ASPLEAD0000252,03/31/2026,ASPDLR000778,Waterproofing,new,1086901.66,Berger,contractor controls decision
ASPLEAD0000253,2024-04-20,ASPDLR000896,Apartment repaint,site visit,987192.95,Local,price high
ASPLEAD0000254,2024-10-16,ASPDLR000875,Villa,stalled,2329157.98,None,dealer asked extra margin
ASPLEAD0000255,2025-11-08,ASPDLR000385,Villa,won,2488527.11,Indigo,dealer asked extra margin
ASPLEAD0000256,14/03/2026,ASPDLR000722,Waterproofing,stalled,897367.85,None,
ASPLEAD0000257,2025-06-27,ASPDLR000751,Villa,won,1469918.31,unknown,dealer asked extra margin
ASPLEAD0000258,19/02/2025,ASPDLR000358,Waterproofing,lost,1742644.77,Indigo,contractor controls decision
ASPLEAD0000259,2026-01-06,ASPDLR000329,Apartment repaint,quoted,231689.78,unknown,
ASPLEAD0000260,04/01/2025,ASPDLR000895,Commercial,quoted,1315881.05,unknown,
ASPLEAD0000261,2025-01-13,ASPDLR000068,Builder project,stalled,864304.04,Local,payment risk
ASPLEAD0000262,2025-09-12,ASPDLR000499,Apartment repaint,stalled,828594.94,Indigo,
ASPLEAD0000263,2025-11-04,ASPDLR000274,Builder project,site visit,491720.56,Local,price high
ASPLEAD0000264,2024-10-03,ASPDLR000565,Beautiful Homes,quoted,1380153.60,Indigo,payment risk
ASPLEAD0000265,2025-11-14,ASPDLR000840,Builder project,won,879861.90,unknown,price high
ASPLEAD0000266,2025-07-13,ASPDLR000582,Commercial,won,1146334.82,Berger,dealer asked extra margin
ASPLEAD0000267,2025-11-29,ASPDLR000016,Apartment repaint,won,872046.39,Local,payment risk
ASPLEAD0000268,2024-11-24,ASPDLR000318,Waterproofing,stalled,1033302.18,JSW,
