fleet_id,fleet_name,mapped_dealer_id,state,city,vehicle_count,segment,contract_status,last_review_date,note
CEAFLEET00078,Prime Anand Agro,CEADLR000737,KA,Ballari,509,Agri,rate negotiation,2025-03-01,
CEAFLEET00079,Metro Deepak Chemicals,CEADLR000264,KA,Shivamogga,283,Agri,rate negotiation,2024-07-13,
CEAFLEET00080,Vijaya Irfan Services,CEADLR000031,Kerala,Alappuzha,208,Taxi,rate negotiation,2024-08-09,claims pending
CEAFLEET00081,Lucky Priya Hardware,CEADLR000134,Andhra Pradesh,Ongole,537,Taxi,active,2024-10-15,price pressure
CEAFLEET00082,Modern Venkatesh Corporation,CEADLR000383,Tamil Nadu,Vellore,40,Bus,rate negotiation,2025-07-15,
CEAFLEET00083,Lucky Suresh Logistics,CEADLR000138,Andhra Pradesh,Anantapur,324,Taxi,lost,2025-04-25,claims pending
CEAFLEET00084,Vijaya Geetha Depot,CEADLR000383,Andhra Pradesh,Tirupati,499,Mining,expired,2025-08-21,competitor test running
CEAFLEET00085,Ganesh Geetha Mart,CEADLR000593,Puducherry,Puducherry,313,Bus,trial,2024-06-09,claims pending
CEAFLEET00086,Balaji Meena Corporation,CEADLR000511,Telangana,Hyderabad,615,Bus,active,06/28/2025,price pressure
CEAFLEET00087,New Meena Corporation,CEADLR000454,Karnataka,Udupi,367,Mining,lost,2025-11-06,OEM fitment
CEAFLEET00088,Sree Yusuf Tyres,CEADLR000730,Karnataka,Shivamogga,98,Agri,trial,2024-11-24,claims pending
CEAFLEET00089,Lucky Rafiq Agencies,CEADLR000219,Tamil Nadu,Kanchipuram,543,LCV,trial,20-Jun-25,OEM fitment
CEAFLEET00090,Star Arun Mart,CEADLR000600,Karnataka,Davanagere,279,LCV,expired,08/18/2025,price pressure
CEAFLEET00091,Sri Lakshmi Logistics,CEADLR000052,Karnataka,Belagavi,438,Truck,rate negotiation,2025-04-24,claims pending
CEAFLEET00092,Metro Arun Services,CEADLR000454,Karnataka,Tumakuru,383,Taxi,lost,28-May-25,price pressure
CEAFLEET00093,Murugan Prakash Hardware,CEADLR000311,TAMILNADU,Thanjavur,606,Agri,trial,08/18/2024,price pressure
CEAFLEET00094,National Kavya Sales,CEADLR000385,Kerala,Kannur,63,Bus,trial,2025-02-04,
CEAFLEET00095,Modern Lakshmi Mart,CEADLR000187,Kerala,Kochi,17,Mining,active,2025-07-07,claims pending
CEAFLEET00096,New Kavya Agencies,CEADLR000532,TG,Nizamabad,425,Taxi,trial,2025-11-13,competitor test running
CEAFLEET00097,Balaji Anand Tyres,CEADLR000006,Karnataka,Kalaburagi,163,Agri,active,2024-11-29,claims pending
CEAFLEET00098,Mahalakshmi Venkatesh Hardware,CEADLR000107,Andhra Pradesh,Anantapur,504,Mining,expired,04/11/2024,price pressure
CEAFLEET00099,United Lakshmi Sales,CEADLR000369,Karnataka,Mangaluru,218,LCV,rate negotiation,2024-08-02,
CEAFLEET00100,City Chandra Associates,CEADLR000151,Andhra Pradesh,Kakinada,48,LCV,active,08/08/2025,
CEAFLEET00101,Murugan Ganesh Logistics,CEADLR000488,KERALA,Palakkad,444,LCV,active,2025-02-23,competitor test running
CEAFLEET00102,NATIONAL KAVYA LOGISTICS,CEADLR000447,KL,Kannur,426,Agri,trial,2025-02-13,competitor test running
CEAFLEET00103,UNITED RAFIQ TRADERS,CEADLR000622,Tamil Nadu,Hosur,622,LCV,active,2025-10-16,price pressure
CEAFLEET00104,Mahalakshmi Karthik Mart,CEADLR000619,Andhra Pradesh,Visakhapatnam,312,Agri,trial,2024-12-30,OEM fitment
CEAFLEET00105,Vijaya Yusuf Logistics,CEADLR000650,Andhra Pradesh,Ongole,561,Agri,rate negotiation,01/11/2025,competitor test running
CEAFLEET00106,Balaji Irfan Depot,CEADLR000394,Telangana,Hyderabad,592,Taxi,trial,2025-05-29,competitor test running
CEAFLEET00107,Sree Farida Agro,CEADLR000150,Karnataka,Davanagere,95,Bus,trial,16/03/2025,price pressure
CEAFLEET00108,Sree Revathi Fertilisers,CEADLR000125,Kerala,Kottayam,150,Truck,trial,02/10/2026,OEM fitment
CEAFLEET00109,Prime Rafiq Logistics,CEADLR000669,Karnataka,Raichur,153,Taxi,rate negotiation,2025-03-07,claims pending
CEAFLEET00110,Vijaya Bala Distributors & Co,CEADLR000222,Karnataka,Bengaluru,288,LCV,trial,2025-01-25,competitor test running
CEAFLEET00111,Prime Meena Enterprises,CEADLR000688,TS,Warangal,592,LCV,rate negotiation,05/01/2025,competitor test running
CEAFLEET00112,Sri Revathi Enterprises,CEADLR000207,Tamil Nadu,Madurai,476,Bus,lost,11/30/2025,OEM fitment
CEAFLEET00113,Lucky Sowmya Traders,CEADLR000122,Telangana,Siddipet,262,Truck,active,2025-08-26,OEM fitment
CEAFLEET00114,Shree Anand Logistics,CEADLR000479,KA,Kalaburagi,644,Taxi,rate negotiation,2024-04-19,
CEAFLEET00115,Metro Sanjay Logistics,CEADLR000328,Telangana,Nizamabad,176,Taxi,expired,2024-04-19,
CEAFLEET00116,City Prakash Agencies,CEADLR000552,Tamil Nadu,Vellore,242,Bus,active,2024-11-28,competitor test running
CEAFLEET00117,Lucky Prakash Hardware,CEADLR000457,Telangana,Nalgonda,480,Truck,expired,2024-04-01,competitor test running
CEAFLEET00118,United Hari Logistics,CEADLR000040,Andhra Pradesh,Kakinada,55,Bus,lost,2025-08-24,competitor test running
CEAFLEET00119,Kaveri Sanjay Sales Pvt,CEADLR000426,Karnataka,Belagavi,349,Agri,active,2025-09-19,
CEAFLEET00120,Sri Revathi Tyres,CEADLR000639,TN,Erode,119,LCV,trial,2025-08-29,price pressure
CEAFLEET00121,City Karthik Corporation,CEADLR000662,Tamil Nadu,Coimbatore,417,LCV,expired,25/04/2024,competitor test running
CEAFLEET00122,Metro Sanjay Logistics,CEADLR000186,AP,Kakinada,607,Truck,trial,2024-08-09,competitor test running
CEAFLEET00123,Balaji Deepak Mart,CEADLR000331,Karnataka,Kalaburagi,89,Taxi,trial,11/26/2025,
CEAFLEET00124,Vijaya Prakash Mart,CEADLR000671,Tamil Nadu,Thanjavur,83,Mining,active,2025-11-12,competitor test running
CEAFLEET00125,Royal Chandra Logistics,CEADLR000522,KA,Mangaluru,184,Agri,expired,07-Apr-25,
CEAFLEET00126,National Yusuf Chemicals,CEADLR000473,Tamilnadu,Trichy,258,LCV,expired,2025-04-15,competitor test running
CEAFLEET00127,Murugan Senthil Distributors,CEADLR000162,Telangana,Warangal,437,Taxi,trial,12/10/2024,
CEAFLEET00128,Mahalakshmi Anand Agro,CEADLR000485,Tamil Nadu,Madurai,407,Bus,rate negotiation,2025-01-12,claims pending
CEAFLEET00129,Prime Rafiq Corporation,CEADLR000749,Tamil Nadu,Cuddalore,609,Mining,rate negotiation,07/04/2024,claims pending
CEAFLEET00130,Star Karthik Mart,CEADLR000278,Tamil Nadu,Madurai,171,Bus,lost,2024-12-06,competitor test running
CEAFLEET00131,Balaji Senthil Logistics,CEADLR000177,Telangana,Hyderabad,378,LCV,lost,2024-07-24,competitor test running
CEAFLEET00132,Shree Bala Distributors,CEADLR000030,Karnataka,Mysuru,43,Agri,lost,2026-02-12,price pressure
CEAFLEET00133,Metro Karthik Enterprises,CEADLR000516,Kerala,Kochi,368,Bus,expired,2024-10-01,competitor test running
CEAFLEET00134,Mahalakshmi Jagan Associates,CEADLR000451,Karnataka,Bengaluru,461,Truck,trial,2024-09-14,competitor test running
CEAFLEET00135,SRI GEETHA ASSOCIATES,CEADLR000692,Kerala,Kottayam,237,Truck,expired,2025-05-17,
CEAFLEET00136,National Geetha Services,CEADLR000297,Tamil Nadu,Chennai,420,Taxi,active,2025-08-06,claims pending
CEAFLEET00137,KAVERI IRFAN CORPORATION,CEADLR000445,Tamil Nadu,Trichy,223,Agri,active,2024-05-01,claims pending
CEAFLEET00138,MODERN SENTHIL ASSOCIATES,CEADLR000236,Andhra Pradesh,Nellore,173,LCV,trial,2025-07-05,OEM fitment
CEAFLEET00139,Mahalakshmi Lakshmi Agro,CEADLR000408,Telangana,Nizamabad,191,Truck,active,13-Jun-25,competitor test running
CEAFLEET00140,Balaji Bala Hardware,CEADLR000566,Andhra Pradesh,Rajahmundry,269,Agri,active,15/07/2025,competitor test running
CEAFLEET00141,Kaveri Revathi Sales,CEADLR000484,Tamil Nadu,Cuddalore,158,Truck,rate negotiation,2025-07-31,competitor test running
CEAFLEET00142,Star Anand Enterprises,CEADLR000286,Telangana,Nalgonda,186,LCV,trial,05-Sep-25,price pressure
CEAFLEET00143,Vijaya Meena Chemicals,CEADLR000385,Andhra Pradesh,Kurnool,594,Taxi,rate negotiation,2024-07-11,claims pending
CEAFLEET00144,Murugan Revathi Fertilisers,CEADLR000542,Tamil Nadu,Trichy,53,Truck,expired,2025-08-30,price pressure
CEAFLEET00145,Mahalakshmi Priya Agencies,CEADLR000273,Tamil Nadu,Thanjavur,9,Bus,rate negotiation,2025-09-10,claims pending
CEAFLEET00146,UNITED RAFIQ LOGISTICS,CEADLR000109,Kerala,Kochi,490,LCV,rate negotiation,2026-02-21,claims pending
CEAFLEET00147,Sri Sowmya Distributors,CEADLR000288,Tamil Nadu,Thanjavur,419,Truck,active,2024-04-30,competitor test running
CEAFLEET00148,Ganesh Meena Enterprises,CEADLR000042,Andhra Pradesh,Rajahmundry,433,LCV,lost,2025-03-09,competitor test running
CEAFLEET00149,Sree Ganesh Associates,CEADLR000302,Tamil Nadu,Hosur,37,Agri,expired,2024-10-30,OEM fitment
CEAFLEET00150,Lucky Priya Tyres,CEADLR000246,Kerala,Thiruvananthapuram,95,Bus,lost,20-Aug-24,
CEAFLEET00151,Sri Revathi Traders,CEADLR000622,Tamil Nadu,Tirunelveli,516,Mining,trial,2025-04-05,OEM fitment
CEAFLEET00152,Ganesh Prakash Sales,CEADLR000148,Telangana,Khammam,63,Taxi,expired,2025-08-20,competitor test running
CEAFLEET00153,Royal Meena Logistics,CEADLR000312,Telangana,Nizamabad,175,Truck,trial,2025-12-06,competitor test running
CEAFLEET00154,Modern Hari Hardware,CEADLR000010,Kerala,Alappuzha,417,LCV,trial,07/07/2024,competitor test running
CEAFLEET00155,Prime Irfan Fertilisers,CEADLR000479,Andhra Pradesh,Visakhapatnam,319,Agri,lost,2025-12-10,
CEAFLEET00156,United Naveen Mart,CEADLR000694,Karnataka,Udupi,551,Truck,active,2025-05-06,claims pending
CEAFLEET00157,New Anand Logistics,CEADLR000573,Puducherry,Karaikal,605,LCV,trial,2025-04-25,claims pending
CEAFLEET00158,Ganesh Senthil Depot,CEADLR000454,Karnataka,Raichur,229,Agri,lost,2025-01-17,
CEAFLEET00159,Star Bala Logistics,CEADLR000150,Andhra Pradesh,Anantapur,478,LCV,trial,2024-09-27,
CEAFLEET00160,Sri Hari Logistics,CEADLR000210,Karnataka,Tumakuru,151,Mining,expired,2024-08-01,price pressure
CEAFLEET00161,Vijaya Bala Fertilisers,CEADLR000010,Kerala,Palakkad,630,Mining,active,2024-05-01,price pressure
CEAFLEET00162,Sree Farida Associates Pvt,CEADLR000696,Tamil Nadu,Kanchipuram,349,Taxi,lost,2025-03-16,
CEAFLEET00163,Modern Anand Enterprises,CEADLR000393,Andhra Pradesh,Nellore,647,Taxi,rate negotiation,2024-07-14,
CEAFLEET00164,Vijaya Sanjay Hardware,CEADLR000712,Tamil Nadu,Tirunelveli,423,Taxi,expired,2025-10-06,competitor test running
CEAFLEET00165,PRIME LAKSHMI ENTERPRISES,CEADLR000490,Andhra Pradesh,Tirupati,15,Agri,trial,2025-12-25,OEM fitment
CEAFLEET00166,Murugan Revathi Logistics,CEADLR000552,Tamil Nadu,Tirunelveli,203,Agri,trial,2025-09-06,OEM fitment
CEAFLEET00167,Balaji Priya Distributors,CEADLR000225,Karnataka,Belagavi,225,LCV,lost,2024-11-02,OEM fitment
CEAFLEET00168,Metro Kavya Hardware,CEADLR000414,Tamil Nadu,Coimbatore,278,Mining,expired,2026-02-27,price pressure
CEAFLEET00169,Sri Yusuf Logistics,CEADLR000529,Telangana,Warangal,241,LCV,expired,31/03/2025,OEM fitment
CEAFLEET00170,Star Priya Corporation,CEADLR000103,Tamil Nadu,Hosur,309,Bus,expired,2025-04-23,OEM fitment
CEAFLEET00171,Royal Kavya Associates,CEADLR000199,Tamil Nadu,Salem,570,LCV,expired,2025-02-20,OEM fitment
CEAFLEET00172,Shree Deepak Logistics,CEADLR000419,Tamil Nadu,Cuddalore,196,Agri,expired,2026-03-25,competitor test running
CEAFLEET00173,Balaji Lokesh Logistics,CEADLR000108,Karnataka,Belagavi,169,Mining,trial,2024-10-27,competitor test running
CEAFLEET00174,City Manoj Sales,CEADLR000302,Karnataka,Kalaburagi,582,LCV,lost,10/29/2024,
CEAFLEET00175,Murugan Bala Chemicals,CEADLR000041,Telangana,Khammam,61,Mining,lost,2025-09-03,OEM fitment
CEAFLEET00176,National Farida Sales,CEADLR000548,Andhra Pradesh,Kakinada,130,Bus,trial,2025-04-12,OEM fitment
CEAFLEET00177,Vijaya Meena Logistics,CEADLR000205,Karnataka,Ballari,58,Agri,rate negotiation,2026-02-14,claims pending
CEAFLEET00178,Murugan Ganesh Corporation,CEADLR000735,Andhra Pradesh,Kadapa,340,Mining,active,14/01/2026,OEM fitment
CEAFLEET00179,Kaveri Senthil Tyres,CEADLR000128,Karnataka,Tumakuru,595,LCV,lost,2026-03-08,OEM fitment
CEAFLEET00180,Mahalakshmi Prakash Logistics,CEADLR000620,Karnataka,Mangaluru,422,Agri,trial,2024-12-18,
CEAFLEET00181,LUCKY SENTHIL LOGISTICS,CEADLR000168,Telangana,Mahbubnagar,430,Mining,expired,2024-12-07,
CEAFLEET00182,Lucky Anand Fertilisers,CEADLR000250,Telangana,Nalgonda,233,LCV,lost,2025-08-10,OEM fitment
CEAFLEET00183,Balaji Irfan Logistics,CEADLR000504,Andhra Pradesh,Ongole,302,Agri,rate negotiation,2025-04-04,price pressure
CEAFLEET00184,Sree Chandra Associates,CEADLR000015,Kerala,Kochi,174,Truck,rate negotiation,2024-07-30,
CEAFLEET00185,United Hari Logistics,CEADLR000119,Karnataka,Kalaburagi,615,Agri,active,2026-03-27,
CEAFLEET00186,Lucky Farida Logistics,CEADLR000413,Andhra Pradesh,Kadapa,142,Bus,lost,2024-05-27,claims pending
CEAFLEET00187,City Farida Mart,CEADLR000230,Tamil Nadu,Kanchipuram,105,Agri,trial,2024-08-30,price pressure
CEAFLEET00188,Sree Manoj Logistics Pvt,CEADLR000253,Karnataka,Kalaburagi,22,Mining,lost,2024-09-23,claims pending
CEAFLEET00189,Star Bala Distributors,CEADLR000729,Tamil Nadu,Erode,278,Taxi,lost,2025-09-04,
CEAFLEET00190,NEW SANJAY TYRES,CEADLR000355,Karnataka,Tumakuru,566,Truck,trial,03/29/2025,claims pending
CEAFLEET00191,Royal Sowmya Enterprises,CEADLR000678,Andhra Pradesh,Nellore,324,Mining,active,14/06/2024,competitor test running
CEAFLEET00192,Balaji Jagan Distributors & Co,CEADLR000011,Kerala,Thrissur,292,Mining,rate negotiation,2024-07-07,
CEAFLEET00193,Star Geetha Agro & Co,CEADLR000087,Karnataka,Mysuru,94,LCV,trial,29/05/2025,
CEAFLEET00194,Modern Meena Logistics,CEADLR000165,Telangana,Nalgonda,303,LCV,active,10/20/2025,competitor test running
CEAFLEET00195,Kaveri Sowmya Logistics,CEADLR000324,Karnataka,Kalaburagi,609,Mining,lost,2025-06-17,
CEAFLEET00196,Modern Lakshmi Logistics,CEADLR000646,Telangana,Karimnagar,306,Taxi,lost,2025-01-22,OEM fitment
CEAFLEET00197,Murugan Naveen Corporation,CEADLR000392,TG,Siddipet,272,LCV,active,2025-11-14,competitor test running
CEAFLEET00198,Royal Lakshmi Services,CEADLR000698,Karnataka,Mysuru,220,Truck,expired,23/09/2025,competitor test running
CEAFLEET00199,National Farida Logistics,CEADLR000336,Kerala,Thiruvananthapuram,458,Mining,lost,2025-04-03,
CEAFLEET00200,Royal Arun Logistics,CEADLR000667,Telangana,Mahbubnagar,400,Truck,rate negotiation,2025-01-18,price pressure
CEAFLEET00201,United Deepak Hardware,CEADLR000372,Telangana,Nizamabad,410,Truck,rate negotiation,28/11/2024,competitor test running
CEAFLEET00202,United Yusuf Enterprises,CEADLR000578,KARNATAKA,Davanagere,439,Taxi,lost,11/17/2024,OEM fitment
CEAFLEET00203,Balaji Suresh Logistics,CEADLR000265,Andhra Pradesh,Nellore,94,Truck,trial,19-Dec-24,competitor test running
CEAFLEET00204,Murugan Sanjay Stores,CEADLR000717,Puducherry,Puducherry,565,LCV,expired,28/07/2025,claims pending
CEAFLEET00205,New Hari Logistics,CEADLR000055,Andhra Pradesh,Kakinada,110,Bus,rate negotiation,2025-04-30,price pressure
CEAFLEET00206,Metro Priya Enterprises Main,CEADLR000678,Karnataka,Shivamogga,436,Taxi,rate negotiation,2024-09-13,competitor test running
CEAFLEET00207,United Deepak Logistics,CEADLR000664,Puducherry,Puducherry,224,Bus,rate negotiation,2025-07-25,competitor test running
CEAFLEET00208,City Priya Sales,CEADLR000689,Andhra Pradesh,Tirupati,177,Mining,expired,2024-09-12,competitor test running
CEAFLEET00209,United Chandra Logistics,CEADLR000492,Tamil Nadu,Tirunelveli,380,Taxi,trial,2026-02-12,
CEAFLEET00210,Balaji Sowmya Sales,CEADLR000613,Puducherry,Karaikal,30,LCV,lost,2025-06-02,
CEAFLEET00211,Mahalakshmi Deepak Agencies,CEADLR000622,AP,Guntur,344,Mining,trial,2025-10-25,price pressure
